username,total_score
TechnoPhasePRO,0
Gauravsahadev,0
navodanilakshi,0
tyOjasvi,0
rahulmajumder85,0
ketanmehta244241,0
users,0
somesh1312,0
hitenndr28vipuldcoder,0
ismeet010vineeth12345,0
i_love_bhavit,0
paulakash36,0
Eshanatnight,0
360abhimanyu,0
titikshasaini,0
Deepthi2021,0
shubhabanerjeewin8,0
waridrox,0
HARSHI28A,0
Debanitrkl,0
Swapnil074,0
deepanshuchajgotra26,0
khushboojadon,0
anuj0809,0
Sangipc,0
Ngai-E,0
ssurbhi560,0
vigilance,0
subhadeeppaul,0
Sachindrck,0
mohammedowez,0
iamrishav111,0
rounak-github,0
shrutijha16,0
shafi1996,0
CharansinghThakur,0
poorvitiwary,0
Eshaabhasin,0
rhythm55,0
Gurleen-Dhod,0
Bhanu-mbvg,0
archie-95,0
navi532,0
SHUBH619,0
swathi-hegde,0
Vatsalgarg1617,0
Ritika1d,0
komal99,0
AudrickOng,0
KratiAnu,0
p-bucky,0
srishti-the-learner,0
RamSamarthPaliwal,0
sssmrd,0
sonuverma1,0
sauravchirania,0
priya-tiwari,0
ripper479,0
AyushmanBilasThakur,0
0563gaurav,0
CruxBox,0
vaishnavisatone,0
meghaa105,0
PratthamArora,0
anmol8399,0
mj2799,0
vbansal20,0
gaganak,0
sonalimahajan12,0
kumsomi,0
priyansh14,0
rasacharjee,0
kuldeep-98,0
pwnsoni,0
dharmjeet2dk,0
Sreejan4500,0
nja12g,0
akshatj355,0
07Shubh,0
Maxz2136,0
arun664,0
the-pro,0
akshay08011907,0
arghac14,0
sahil-9,0
chanpreet1999,0
pratikpanda1234,0
yatharth17,0
undefined098,0
Arunkumar0258,0
anmolgup,0
rishtha,0
dvlpsh,0
aanagran,0
APushpendra08,0
Sindhuzasingh04,0
mehvishmeraj,0
Muskan-Mangal,0
UshasriMavuri1999,0
DeepanshiD,0
NeerajSirvisetti,0
Sbabureddy,0
maheshschand,0
shweta-bajpai,0
tista123,0
Varshney200,0
samarth30,0
Chirayugupta,0
N15H4,0
gupta403,0
rishabhku,0
vaidz21,0
doriorio,0
daya2940,0
gowrijp,0
rajnis09,0
AmanL04,0
SHUBH619,0
ankit-tailor,0
Prachi-Patel,0
garimamann,0
ayuashii,0
manisinghasd,0
vicky1999,0
imshivamdwivedi,0
amoghjalan,0
ushayadav22,0
aldrin163,0
vijethph,0
zeeshanbhati,0
eKta37,0
prayans,0
ayush8stp,0
stratospher,0
asquare24,0
https:?id=621009,0
KINGSLAYER99,0
Eklavya42,0
bhavesh0206s,0
PravunathSingh,0
Ruchikamodgil,0
joydevhati1998,0
rohits301,0
saidrishya,0
ShaliniBR12,0
Aman-Codes,0
bp1710,0
XxArkadeepxX,0
Meghdut-Mandal,0
ManasaaM,0
vrindajain1999,0
Tsanjana19,0
mahakmakharia,0
Utkarsh2604,0
Saurabh70,0
YashAwaghate,0
anwesha-mohanty,0
Ruth0709,0
malavikasmenon,0
IamAnkit55,0
darkmatter18,0
AarushiKapoor,0
akku15999,0
shardul1999,0
spacemonkey1101,0
thejina,0
sakshikhachane,0
saurav-skl,0
nikxtaco,0
saurabhkanswal,0
VaibhavSethia07,0
bhavesh2699,0
Ajay-Modi,0
infiniteoverflow,0
djsavaliya,0
akshitabhardwaj5,0
shwhite17,0
neethunsr,0
Nikita-Sukhwal,0
8426988382,0
web-geek,0
SomyaGandhi,0
trisha-c-a,0
priyagarg1304,0
Debpramanik19,0
heflinstephenraj,0
Sayoni26,0
dj373,0
AmitAgarwalChas,0
shubhangishukla0801,0
apoorvavats,0
brainaxe123,0
malavshahce,0
rohit45deepaK,0
akshaysingh5,0
Rahulkhatri-19,0
taniya25,0
Shian009,0
W1nt3r-code,0
aftex261,0
AgrawalVipul31,0
rishab247,0
C2OO13,0
pavansai1,0
prakhar154,0
Daisy-M-RGB,0
sharmapradyumn,0
Swarnimashukla,0
Akanksha-Pant,0
rebelfire888,0
Sayam753,0
sharmajsr,0
anshuman1510,0
aakankshapathak09,0
adii44,0
eaglewarrior,0
vineetnayak777,0
abhishekakade,0
najim11rahman,0
swarnawep56,0
imemya19,0
tigerashishthakur,0
gowripratyusha28,0
sakshamj74,0
aditisingh2362,0
soulhunter10737,0
amanagrw,0
DevTrishla,0
VijayAnand-B,0
gargmuskacodingn94,0
anjali142,0
vidushi0205,0
Akhila-Krishna,0
rpop67,0
Mrig26,0
tushartiwari0172,0
tanveerchahal,0
roubalsehgal,0
